,score,rank
907,15.5591,356
90,15.5414,357
69,15.4869,358
117,15.4806,359
1182,15.4792,360
1183,15.4761,361
1206,15.4507,362
1247,15.4262,363
80,15.4153,364
900,15.4044,365
1255,15.3956,366
576,15.3936,367
217,15.387,368
77,15.3405,369
1213,15.3391,370
352,15.3173,371
385,15.303,372
395,15.2758,373
1203,15.2749,374
1089,15.2648,375
719,15.2629,376
1173,15.2408,377
97,15.2098,378
502,15.2008,379
320,15.1843,380
1273,15.1817,381
645,15.1708,382
315,15.1695,383
555,15.1689,384
628,15.1557,385
1205,15.1491,386
494,15.1382,387
566,15.1258,388
1053,15.1256,389
55,15.121,390
1197,15.121,391
1207,15.0992,392
365,15.0942,393
1198,15.0883,394
203,15.0883,395
65,15.0774,396
260,15.066,397
9,15.0641,398
114,15.0557,399
158,15.0535,400
350,15.0121,401
123,15.0012,402
317,15.001,403
884,14.9577,404
124,14.9359,405
222,14.925,406
396,14.9149,407
324,14.9058,408
808,14.9001,409
927,14.8827,410
134,14.8485,411
206,14.8266,412
544,14.8233,413
1277,14.8129,414
235,14.7852,415
364,14.7692,416
380,14.7201,417
318,14.7182,418
908,14.7069,419
258,14.6957,420
342,14.6914,421
1212,14.685,422
1287,14.6673,423
420,14.6638,424
1274,14.6538,425
147,14.6524,426
890,14.6387,427
89,14.6059,428
1216,14.5968,429
1252,14.5892,430
817,14.5567,431
1281,14.5336,432
1218,14.5121,433
1208,14.4996,434
1246,14.4778,435
48,14.4509,436
219,14.4343,437
653,14.4317,438
1221,14.4297,439
760,14.4126,440
93,14.397,441
1244,14.3637,442
472,14.3377,443
400,14.3363,444
208,14.2979,445
1303,14.2927,446
1222,14.2747,447
186,14.2551,448
3,14.2382,449
1285,14.209,450
384,14.1975,451
45,14.1886,452
11,14.1726,453
1251,14.1726,454
202,14.1726,455
209,14.1726,456
1215,14.168,457
310,14.152,458
311,14.1299,459
120,14.1136,460
149,14.0855,461
307,14.0835,462
47,14.0704,463
314,14.0667,464
162,14.0528,465
903,14.0457,466
296,14.042,467
383,14.0368,468
210,14.0311,469
424,14.0311,470
91,14.0097,471
94,14.0093,472
1193,13.9984,473
323,13.9881,474
1265,13.9776,475
1270,13.9759,476
49,13.9706,477
306,13.8782,478
1226,13.8346,479
178,13.8283,480
717,13.802,481
194,13.7911,482
1301,13.7802,483
10,13.7802,484
8,13.7584,485
922,13.7382,486
356,13.7367,487
46,13.7297,488
1204,13.7258,489
240,13.7165,490
154,13.7149,491
822,13.7149,492
312,13.7072,493
196,13.6951,494
247,13.6885,495
1056,13.6559,496
1057,13.6387,497
308,13.6298,498
405,13.6258,499
1245,13.6165,500
251,13.6008,501
316,13.5284,502
1227,13.5186,503
471,13.5007,504
1286,13.4944,505
160,13.475,506
309,13.467,507
1271,13.4444,508
574,13.4417,509
1289,13.4314,510
244,13.3967,511
127,13.3443,512
339,13.326,513
1297,13.291,514
192,13.2896,515
1292,13.2753,516
228,13.2062,517
187,13.1916,518
1225,13.1278,519
518,13.1186,520
305,13.1154,521
399,13.1147,522
1296,13.0827,523
358,13.0174,524
911,12.9967,525
367,12.9172,526
1282,12.8785,527
349,12.8708,528
294,12.8427,529
401,12.7942,530
159,12.7902,531
1264,12.7883,532
373,12.7812,533
928,12.7556,534
304,12.7066,535
1261,12.6613,536
1293,12.6019,537
1262,12.592,538
1294,12.5712,539
1269,12.541,540
295,12.5375,541
198,12.5344,542
1302,12.4935,543
171,12.4177,544
386,12.4037,545
1257,12.3882,546
403,12.3757,547
313,12.363,548
944,12.2775,549
854,12.23,550
13,12.2086,551
1202,12.1996,552
12,12.195,553
360,12.195,554
1038,12.1289,555
439,12.1133,556
193,12.1125,557
1263,12.1082,558
643,12.107,559
1037,12.0997,560
925,12.0525,561
860,12.0436,562
1228,12.019,563
1272,11.904,564
443,11.8893,565
1258,11.8695,566
425,11.8542,567
1300,11.8508,568
361,11.8406,569
359,11.8399,570
82,11.8241,571
363,11.8134,572
150,11.7998,573
238,11.6383,574
531,11.6039,575
986,11.5746,576
1098,11.4336,577
1280,11.4319,578
143,11.4183,579
343,11.4126,580
145,11.4047,581
31,11.399,582
463,11.316,583
221,11.3029,584
1186,11.3029,585
862,11.2507,586
721,11.2321,587
1101,11.2115,588
172,11.1048,589
344,11.0718,590
61,11.0503,591
144,11.0367,592
1125,10.9759,593
511,10.9759,594
512,10.9628,595
391,10.9024,596
64,10.8844,597
803,10.8321,598
498,10.6014,599
146,10.5871,600
336,10.5871,601
859,10.5826,602
1230,10.5276,603
584,10.4789,604
987,10.4659,605
301,10.4528,606
1104,10.294,607
30,10.2543,608
338,10.2056,609
125,10.192,610
644,10.191,611
1223,10.1401,612
765,10.1165,613
1268,10.0734,614
515,10.0734,615
152,9.9737,616
464,9.8901,617
195,9.8838,618
348,9.8591,619
63,9.8247,620
1304,9.7128,621
554,9.6975,622
253,9.6941,623
288,9.4977,624
180,9.4424,625
1181,9.4284,626
362,9.388,627
377,9.3801,628
449,9.3744,629
345,9.3687,630
289,9.367,631
122,9.3327,632
738,9.2549,633
1307,9.1361,634
770,9.1093,635
442,9.1018,636
285,9.0922,637
1201,9.0922,638
6,9.0746,639
286,9.066,640
570,9.053,641
516,9.053,642
571,8.9746,643
404,8.9485,644
759,8.9485,645
284,8.9354,646
7,8.7066,647
190,8.7066,648
181,8.7066,649
1248,8.6736,650
393,8.6606,651
1249,8.6475,652
1100,8.6356,653
863,8.5822,654
474,8.556,655
220,8.3204,656
287,8.3204,657
533,8.3073,658
1099,8.3073,659
517,8.2812,660
191,8.2706,661
402,8.2681,662
1250,8.2681,663
930,8.2551,664
563,8.2289,665
1309,8.1897,666
418,8.1889,667
1239,8.1767,668
679,8.1767,669
491,8.0355,670
254,7.9149,671
188,7.9027,672
173,7.8891,673
929,7.8757,674
514,7.8627,675
737,7.8365,676
1189,7.8104,677
126,7.5211,678
867,7.4847,679
297,7.4833,680
440,7.4803,681
121,7.4531,682
1288,7.418,683
1220,7.203,684
1266,7.1562,685
1184,7.1562,686
1082,7.104,687
877,7.0386,688
366,7.0035,689
758,6.7377,690
441,6.7309,691
298,6.7246,692
861,6.6723,693
14,6.6356,694
293,6.4628,695
392,6.4498,696
129,5.818,697
417,4.9066,698
1229,4.9062,699
790,-0.4047,700
1187,-0.9147,701
845,-0.9484,702
848,-0.9484,703
1055,-0.9484,704
1058,-0.9484,705
1059,-0.9484,706
1060,-0.9484,707
847,-0.9484,708
846,-0.9484,709
545,-0.9484,710
1052,-0.9484,711
1061,-0.9484,712
843,-0.9484,713
1062,-0.9484,714
1063,-0.9484,715
842,-0.9484,716
841,-0.9484,717
844,-0.9484,718
1003,-0.9484,719
1083,-0.9484,720
1001,-0.9484,721
852,-0.9484,722
972,-0.9484,723
976,-0.9484,724
977,-0.9484,725
978,-0.9484,726
851,-0.9484,727
979,-0.9484,728
673,-0.9484,729
980,-0.9484,730
674,-0.9484,731
850,-0.9484,732
565,-0.9484,733
994,-0.9484,734
997,-0.9484,735
1000,-0.9484,736
840,-0.9484,737
1091,-0.9484,738
546,-0.9484,739
541,-0.9484,740
1118,-0.9484,741
1124,-0.9484,742
552,-0.9484,743
1224,-0.9484,744
551,-0.9484,745
550,-0.9484,746
182,-0.9484,747
183,-0.9484,748
184,-0.9484,749
185,-0.9484,750
549,-0.9484,751
548,-0.9484,752
543,-0.9484,753
680,-0.9484,754
547,-0.9484,755
542,-0.9484,756
1117,-0.9484,757
564,-0.9484,758
1115,-0.9484,759
560,-0.9484,760
559,-0.9484,761
558,-0.9484,762
557,-0.9484,763
1102,-0.9484,764
1103,-0.9484,765
166,-0.9484,766
839,-0.9484,767
683,-0.9484,768
168,-0.9484,769
556,-0.9484,770
1105,-0.9484,771
1232,-0.9484,772
553,-0.9484,773
970,-0.9484,774
971,-0.9484,775
