,FAHP_score,FAHP_rank,entropy_score,entropy_rank
!46,569.8402,179,832.257,178
!211,566.4562,180,824.3584,180
!293,564.5797,181,821.5621,181
!267,561.7068,182,819.3804,182
!275,561.6484,183,817.3478,184
!24,561.2058,184,819.3546,183
!246,557.0373,185,812.0923,185
!33,556.2299,186,807.7711,188
!130,555.7528,187,807.9426,186
!297,554.5764,188,807.8637,187
!330,552.0624,189,807.1802,189
!352,551.0334,190,800.6756,193
!114,550.8271,191,805.3441,190
!325,549.1111,192,801.502,192
!213,548.4486,193,802.4341,191
!118,548.1117,194,799.9252,194
!142,547.6116,195,796.7514,195
!280,543.6995,196,794.7926,196
!260,543.1283,197,790.1697,199
!55,543.02,198,794.6198,197
!229,542.6419,199,786.1805,202
!1,542.1356,200,793.4489,198
!338,541.5828,201,787.2259,201
!76,540.1152,202,788.8819,200
!106,539.5747,203,784.7874,203
!303,537.9599,204,783.4292,204
!256,536.3853,205,781.3071,205
!238,535.4788,206,780.6525,206
!241,532.4804,207,777.7711,207
!295,531.5112,208,776.0636,208
!28,530.0659,209,772.2918,210
!237,530.0628,210,773.9997,209
!134,529.6633,211,770.9589,211
!355,528.7318,212,768.8207,213
!253,527.3385,213,766.6282,217
!169,526.4878,214,766.9075,214
!218,526.2928,215,766.6275,218
!285,525.5715,216,766.689,215
!296,525.0861,217,766.6453,216
!215,524.9774,218,763.684,219
!146,524.6018,219,768.9113,212
!202,522.3016,220,760.5945,221
!326,521.8527,221,763.1583,220
!149,521.2671,222,758.2875,222
!193,520.5268,223,758.0277,223
!189,518.1846,224,756.235,224
!308,517.9581,225,751.8939,225
!208,514.6507,226,751.8698,226
!286,514.2315,227,748.6853,229
!350,513.2825,228,750.7934,227
!22,512.7786,229,746.5071,230
!182,512.6347,230,749.6516,228
!80,507.7805,231,742.2825,231
!342,507.0665,232,738.6327,233
!54,506.2978,233,739.0256,232
!217,505.3594,234,738.0411,234
!136,503.7265,235,734.4108,235
!328,502.6608,236,733.4164,236
!92,501.4315,237,729.401,237
!354,500.9907,238,728.9723,238
!304,500.0319,239,728.7538,239
!69,498.2617,240,724.1054,242
!268,497.7786,241,725.74,241
!49,497.6796,242,721.9725,244
!307,496.203,243,727.4817,240
!42,495.9066,244,718.8736,246
!194,495.4941,245,721.8796,245
!282,492.6519,246,717.1994,248
!192,491.8942,247,722.5991,243
!137,491.6649,248,717.2704,247
!272,490.0211,249,712.9854,249
!96,485.4404,250,707.3538,250
!117,483.0292,251,705.6914,251
!264,481.2144,252,703.8834,252
!75,481.0745,253,701.3211,253
!140,479.9602,254,699.6811,254
!232,479.7276,255,697.9994,255
!150,478.6699,256,697.2768,256
!348,478.2837,257,695.334,258
!209,477.852,258,696.6093,257
!25,477.2403,259,695.2577,259
!147,476.8574,260,694.4488,260
!129,475.0872,261,691.0372,262
!230,474.8163,262,692.0809,261
!315,473.5539,263,688.0372,266
!327,472.8272,264,687.3762,268
!305,472.7847,265,690.3113,263
!322,472.7551,266,687.4462,267
!248,472.0631,267,688.5143,264
!83,471.5172,268,685.6359,269
!185,470.5702,269,688.1712,265
!107,469.841,270,684.8216,270
!113,468.6905,271,682.5162,271
!244,468.3977,272,681.1083,272
!81,466.7557,273,679.1308,273
!343,465.2372,274,676.5021,274
!94,460.9781,275,670.7692,275
!224,460.1438,276,668.4276,276
!110,459.0639,277,667.7432,277
!216,458.7121,278,665.1729,283
!358,458.5449,279,667.7187,278
!14,457.0407,280,667.57,279
!174,457.037,281,664.6107,284
!39,456.7569,282,665.4884,282
!144,455.5701,283,667.0312,280
!321,455.3855,284,664.463,285
!78,454.7585,285,666.1627,281
!105,454.2367,286,660.0826,286
!0,453.6938,287,658.2865,288
!160,452.7709,288,657.1152,289
!103,452.7137,289,659.8461,287
!12,451.6036,290,656.7887,290
!301,451.3686,291,655.4341,291
!148,450.3118,292,655.3985,292
!7,447.5254,293,651.7815,293
!236,446.8738,294,651.5801,294
!179,446.7943,295,651.2439,295
!4,443.1461,296,645.1754,298
!222,442.8165,297,644.7973,299
!197,442.7057,298,642.8194,301
!171,442.6987,299,646.3707,296
!172,442.3825,300,642.5622,302
!163,442.1801,301,643.3852,300
!188,441.605,302,645.7758,297
!175,440.88,303,639.8294,303
!82,438.615,304,637.9874,304
!223,434.2149,305,631.8199,306
!16,434.1205,306,632.5288,305
!102,433.3807,307,628.101,307
!335,430.5546,308,626.6806,308
!47,429.7599,309,621.7944,315
!10,429.7492,310,624.5259,311
!66,428.3937,311,626.3431,309
!115,428.2906,312,623.1826,314
!351,428.0273,313,624.5417,310
!15,427.9547,314,620.5965,316
!205,427.9533,315,623.4327,312
!26,427.6056,316,623.3784,313
!86,426.7089,317,618.5532,317
!9,424.0571,318,617.6097,318
!347,421.8638,319,612.9621,319
!206,414.8906,320,605.3335,320
!281,413.2512,321,601.0319,322
!139,412.7563,322,601.114,321
!329,409.1796,323,593.3582,324
!265,408.5243,324,594.6049,323
!284,407.0894,325,592.164,326
!283,406.1314,326,588.3951,328
!191,405.6035,327,592.4654,325
!87,404.8426,328,591.3893,327
!259,403.6844,329,587.1387,329
!187,402.9077,330,585.892,330
!269,402.2384,331,583.6977,331
!254,401.2218,332,582.094,333
!302,400.6415,333,582.8634,332
!201,398.2531,334,577.5279,335
!32,397.1728,335,579.5924,334
!50,394.5079,336,572.3533,337
!93,394.0455,337,575.2959,336
!158,392.1874,338,571.9666,338
!153,385.9404,339,560.8076,340
!20,384.6888,340,561.2109,339
!97,382.1585,341,554.2914,341
!199,380.0644,342,551.9857,342
!8,377.7516,343,547.8123,343
!53,372.5175,344,538.5563,344
!357,367.1907,345,533.4998,345
!214,361.0732,346,523.4698,346
!165,360.3551,347,521.5132,347
!287,355.0334,348,518.121,348
!27,348.777,349,503.7589,349
!51,334.2938,350,489.9323,350
!323,330.1392,351,479.242,351
!72,327.4615,352,474.7378,352
!310,321.625,353,466.0692,353
!291,302.5148,354,435.0297,354
!359,294.5901,355,423.9487,356
!239,293.7895,356,426.7744,355
!111,288.5632,357,418.0422,357
!91,264.6738,358,386.3603,358
!341,251.6978,359,366.0791,359
