,congestion_score,rank,status
!18,572.2705,177,MEDIUM
!181,571.3296,178,MEDIUM
!46,569.8402,179,MEDIUM
!211,566.4562,180,MEDIUM
!293,564.5797,181,MEDIUM
!267,561.7068,182,MEDIUM
!275,561.6484,183,MEDIUM
!24,561.2058,184,MEDIUM
!246,557.0373,185,MEDIUM
!33,556.2299,186,MEDIUM
!130,555.7528,187,MEDIUM
!297,554.5764,188,MEDIUM
!330,552.0624,189,MEDIUM
!352,551.0334,190,MEDIUM
!114,550.8271,191,MEDIUM
!325,549.1111,192,MEDIUM
!213,548.4486,193,MEDIUM
!118,548.1117,194,MEDIUM
!142,547.6116,195,MEDIUM
!280,543.6995,196,MEDIUM
!260,543.1283,197,MEDIUM
!55,543.02,198,MEDIUM
!229,542.6419,199,MEDIUM
!1,542.1356,200,MEDIUM
!338,541.5828,201,MEDIUM
!76,540.1152,202,MEDIUM
!106,539.5747,203,MEDIUM
!303,537.9599,204,MEDIUM
!256,536.3853,205,MEDIUM
!238,535.4788,206,MEDIUM
!241,532.4804,207,MEDIUM
!295,531.5112,208,MEDIUM
!28,530.0659,209,MEDIUM
!237,530.0628,210,MEDIUM
!134,529.6633,211,MEDIUM
!355,528.7318,212,MEDIUM
!253,527.3385,213,MEDIUM
!169,526.4878,214,MEDIUM
!218,526.2928,215,MEDIUM
!285,525.5715,216,MEDIUM
!296,525.0861,217,MEDIUM
!215,524.9774,218,MEDIUM
!146,524.6018,219,MEDIUM
!202,522.3016,220,MEDIUM
!326,521.8527,221,MEDIUM
!149,521.2671,222,MEDIUM
!193,520.5268,223,MEDIUM
!189,518.1846,224,MEDIUM
!308,517.9581,225,MEDIUM
!208,514.6507,226,MEDIUM
!286,514.2315,227,MEDIUM
!350,513.2825,228,MEDIUM
!22,512.7786,229,MEDIUM
!182,512.6347,230,MEDIUM
!80,507.7805,231,MEDIUM
!342,507.0665,232,MEDIUM
!54,506.2978,233,MEDIUM
!217,505.3594,234,MEDIUM
!136,503.7265,235,MEDIUM
!328,502.6608,236,MEDIUM
!92,501.4315,237,MEDIUM
!354,500.9907,238,MEDIUM
!304,500.0319,239,MEDIUM
!69,498.2617,240,MEDIUM
!268,497.7786,241,LOW
!49,497.6796,242,LOW
!307,496.203,243,LOW
!42,495.9066,244,LOW
!194,495.4941,245,LOW
!282,492.6519,246,LOW
!192,491.8942,247,LOW
!137,491.6649,248,LOW
!272,490.0211,249,LOW
!96,485.4404,250,LOW
!117,483.0292,251,LOW
!264,481.2144,252,LOW
!75,481.0745,253,LOW
!140,479.9602,254,LOW
!232,479.7276,255,LOW
!150,478.6699,256,LOW
!348,478.2837,257,LOW
!209,477.852,258,LOW
!25,477.2403,259,LOW
!147,476.8574,260,LOW
!129,475.0872,261,LOW
!230,474.8163,262,LOW
!315,473.5539,263,LOW
!327,472.8272,264,LOW
!305,472.7847,265,LOW
!322,472.7551,266,LOW
!248,472.0631,267,LOW
!83,471.5172,268,LOW
!185,470.5702,269,LOW
!107,469.841,270,LOW
!113,468.6905,271,LOW
!244,468.3977,272,LOW
!81,466.7557,273,LOW
!343,465.2372,274,LOW
!94,460.9781,275,LOW
!224,460.1438,276,LOW
!110,459.0639,277,LOW
!216,458.7121,278,LOW
!358,458.5449,279,LOW
!14,457.0407,280,LOW
!174,457.037,281,LOW
!39,456.7569,282,LOW
!144,455.5701,283,LOW
!321,455.3855,284,LOW
!78,454.7585,285,LOW
!105,454.2367,286,LOW
!0,453.6938,287,LOW
!160,452.7709,288,LOW
!103,452.7137,289,LOW
!12,451.6036,290,LOW
!301,451.3686,291,LOW
!148,450.3118,292,LOW
!7,447.5254,293,LOW
!236,446.8738,294,LOW
!179,446.7943,295,LOW
!4,443.1461,296,LOW
!222,442.8165,297,LOW
!197,442.7057,298,LOW
!171,442.6987,299,LOW
!172,442.3825,300,LOW
!163,442.1801,301,LOW
!188,441.605,302,LOW
!175,440.88,303,LOW
!82,438.615,304,LOW
!223,434.2149,305,LOW
!16,434.1205,306,LOW
!102,433.3807,307,LOW
!335,430.5546,308,LOW
!47,429.7599,309,LOW
!10,429.7492,310,LOW
!66,428.3937,311,LOW
!115,428.2906,312,LOW
!351,428.0273,313,LOW
!15,427.9547,314,LOW
!205,427.9533,315,LOW
!26,427.6056,316,LOW
!86,426.7089,317,LOW
!9,424.0571,318,LOW
!347,421.8638,319,LOW
!206,414.8906,320,LOW
!281,413.2512,321,LOW
!139,412.7563,322,LOW
!329,409.1796,323,LOW
!265,408.5243,324,LOW
!284,407.0894,325,LOW
!283,406.1314,326,LOW
!191,405.6035,327,LOW
!87,404.8426,328,LOW
!259,403.6844,329,LOW
!187,402.9077,330,LOW
!269,402.2384,331,LOW
!254,401.2218,332,LOW
!302,400.6415,333,LOW
!201,398.2531,334,LOW
!32,397.1728,335,LOW
!50,394.5079,336,LOW
!93,394.0455,337,LOW
!158,392.1874,338,LOW
!153,385.9404,339,LOW
!20,384.6888,340,LOW
!97,382.1585,341,LOW
!199,380.0644,342,LOW
!8,377.7516,343,LOW
!53,372.5175,344,LOW
!357,367.1907,345,LOW
!214,361.0732,346,LOW
!165,360.3551,347,LOW
!287,355.0334,348,LOW
!27,348.777,349,LOW
!51,334.2938,350,LOW
!323,330.1392,351,LOW
!72,327.4615,352,LOW
!310,321.625,353,LOW
!291,302.5148,354,LOW
!359,294.5901,355,LOW
!239,293.7895,356,LOW
!111,288.5632,357,LOW
!91,264.6738,358,LOW
!341,251.6978,359,LOW
