vehicle_id,route_id,time_step,speed,co_emission,co2_emission,nox_emission,fuel_consumption
4,!4,42,13.9826,51.9529,6266.7758,2.08,1847.3474
2,!2,43,12.9299,-0.0002,1298.2125,0.479,398.957
3,!3,43,10.3007,43.9712,6676.6044,2.1911,2213.3503
4,!4,43,13.5282,0.0094,1343.0661,0.487,436.3409
2,!2,44,12.7995,17.4512,3030.3449,1.0673,988.9089
3,!3,44,11.6621,35.8305,5279.704,1.7413,1627.5341
4,!4,44,13.2216,-0.0001,-0.0013,0.0006,-0.0008
2,!2,45,12.6279,5.1914,1823.5562,0.6758,582.8056
3,!3,45,12.6349,19.526,3447.2423,1.2069,1127.475
4,!4,45,13.5472,24.1509,3507.7889,1.2498,1228.4997
2,!2,46,13.4336,24.0282,3377.4533,1.2107,1142.9161
3,!3,46,14.0513,112.1387,10874.3514,3.8825,3497.933
4,!4,46,13.3684,0.0003,-0.0004,-0.0003,0.0003
2,!2,47,13.1878,0.9769,1456.9755,0.5231,439.7889
3,!3,47,14.4578,-0.0021,0.0002,0.0003,-0.0004
4,!4,47,14.0785,-0.0005,0.0003,0.0003,-0.0001
2,!2,48,13.1175,6.0044,1875.7598,0.7083,633.827
3,!3,48,14.892,38.5329,4139.8977,1.7201,1538.8293
4,!4,48,12.0643,-0.0001,-0.0005,-0.0005,0.0
2,!2,49,13.3247,13.8422,2583.4855,0.9756,876.034
3,!3,49,14.3273,0.0001,0.0001,-0.0001,0.0006
4,!4,49,8.09,-0.0008,0.0003,-0.0003,0.0005
2,!2,50,10.8773,0.0003,-0.0006,-0.0001,-0.0004
3,!3,50,14.7948,21.2707,3199.0069,1.1819,1025.5943
4,!4,50,6.517,0.0007,-0.0008,0.0004,0.0003
5,!5,50,11.7507,4.6328,1888.8777,0.6895,593.9584
2,!2,51,6.4555,-0.0002,0.0001,-0.0003,0.0002
3,!3,51,14.4693,-0.0004,0.0011,-0.0002,0.0004
4,!4,51,6.1694,0.5724,1638.7999,0.6195,522.5729
5,!5,51,11.3441,0.0005,0.0002,-0.0004,0.0003
2,!2,52,5.3831,0.0001,-0.0005,-0.0008,-0.0002
3,!3,52,14.766,43.8921,5203.4117,1.9043,1691.6277
4,!4,52,6.4512,2.9126,2012.7615,0.724,687.2535
5,!5,52,11.2134,3.2335,1695.9714,0.6897,558.4212
2,!2,53,5.7607,4.1649,2518.5345,0.8302,822.8073
3,!3,53,13.9537,-0.0009,-0.0001,0.0007,-0.0001
4,!4,53,6.764,1.7744,1893.8017,0.6329,575.6557
5,!5,53,11.0626,5.453,1981.4714,0.7362,658.6252
2,!2,54,7.7379,27.7464,6159.8103,1.7614,1977.7931
3,!3,54,15.0808,31.6334,4001.5242,1.4577,1297.2765
4,!4,54,9.04,30.3178,5986.8706,1.8423,2050.2795
5,!5,54,10.8156,0.0001,0.0005,-0.0001,-0.0004
2,!2,55,9.9954,40.0528,6468.0307,2.0132,2168.6894
3,!3,55,15.3791,29.5626,3667.7642,1.3693,1233.1519
4,!4,55,10.9422,52.1212,7152.6133,2.4035,2351.9023
5,!5,55,10.3079,0.0011,-0.0012,0.0,0.0004
2,!2,56,12.4055,83.8574,9349.078,3.2633,3145.1061
3,!3,56,14.288,0.0005,-0.0001,-0.0005,-0.0002
4,!4,56,13.0486,84.48,9518.7206,3.269,3042.9423
5,!5,56,10.9528,11.9785,2835.5295,0.9707,909.243
2,!2,57,13.2618,40.0873,5106.2935,1.7242,1626.7664
3,!3,57,14.175,-0.0003,-0.0005,-0.0006,-0.0
4,!4,57,13.0837,11.6262,2390.1474,0.8684,770.8701
5,!5,57,10.3953,-0.0004,-0.0004,-0.0002,-0.0002
2,!2,58,13.3948,-0.0,1241.1765,0.4905,424.0625
3,!3,58,15.1622,53.8013,5895.6063,2.0843,1919.8503
4,!4,58,13.8206,14.9918,2577.6096,0.9729,863.7328
5,!5,58,11.0165,22.09,3667.1698,1.2958,1207.8554
2,!2,59,13.3239,20.7618,3249.0469,1.0553,1013.3803
3,!3,59,14.5905,-0.0003,-0.0002,-0.0005,-0.0007
4,!4,59,13.7082,-0.0003,1292.5346,0.4975,400.1171
5,!5,59,10.9957,6.8714,2099.9487,0.7941,702.225
2,!2,60,12.3409,0.0001,0.0009,-0.0005,0.0002
3,!3,60,14.0276,9.9906,2066.2945,0.7866,696.3013
4,!4,60,10.1901,-0.0008,0.0004,0.0006,-0.0001
5,!5,60,10.8281,1.8773,1572.1336,0.596,510.0147
6,!6,60,21.6434,33.1187,3304.6044,1.2204,994.4149
3,!3,61,14.2101,4.0545,1559.433,0.6033,522.8885
4,!4,61,5.4542,-0.0008,-0.0001,0.0004,0.0002
5,!5,61,11.3031,2.3445,1676.0797,0.5866,529.4279
6,!6,61,21.9834,15.1382,2054.8963,0.7625,674.0696
4,!4,62,7.3768,20.2217,5317.7129,1.5264,1728.1045
5,!5,62,10.6869,-0.0005,0.0005,0.0001,-0.0014
