,speed,co_emission,co2_emission,nox_emission,fuel_consumption
!243,14.9124,102.2026,7775.5884,3.0645,2527.0513
!244,10.8673,16.5249,2878.5036,0.9644,933.553
!245,25.7247,91.272,5723.5377,2.3951,1871.4429
!246,7.9827,18.6602,3449.2196,1.0972,1110.5398
!247,9.8791,24.6434,3908.5591,1.2676,1262.9146
!248,11.1592,20.2978,2842.3417,0.9751,928.7033
!249,8.5387,26.2894,4163.0279,1.3866,1350.6492
!250,18.546,44.1079,4051.6824,1.5486,1315.5755
!251,14.8317,60.2229,5154.2526,2.0051,1733.0424
!252,9.7384,23.4741,3639.7944,1.2202,1177.4789
!253,9.3483,18.0252,3186.7691,1.0546,1036.5258
!254,9.1648,12.8789,2432.6512,0.804,781.4225
!255,12.1223,33.0336,3777.7031,1.3499,1206.9013
!256,11.368,20.6332,3253.7174,1.1076,1055.7585
!257,18.3041,155.8447,9619.3073,4.1108,3154.6907
!258,17.7174,112.7961,7707.8446,3.1693,2446.9726
!259,9.3529,11.0912,2440.8355,0.8085,785.432
!260,7.7039,15.463,3297.0286,1.0425,1057.4665
!261,9.9414,25.9729,3976.1786,1.3067,1289.9723
!262,18.1005,85.8511,6174.7539,2.4985,1999.503
!263,16.1587,66.7159,5586.7639,2.142,1817.3675
!264,7.8909,14.4789,3053.735,0.9793,996.9899
!265,9.4499,16.5023,3103.5166,1.0282,1006.0656
!266,9.6687,25.0673,3930.0345,1.3086,1283.8028
!267,14.298,29.5012,3400.7501,1.1885,1090.9612
!268,10.1048,17.9037,3077.3423,1.035,986.1824
!269,9.8173,12.5448,2363.4011,0.7802,764.706
!270,15.5289,88.2275,6985.4637,2.7108,2193.5695
!271,14.1472,70.5652,6094.3257,2.3326,1996.3555
!272,10.9911,18.0003,2954.6286,1.0147,955.2698
!273,15.4553,77.9888,6211.7301,2.4477,2010.4204
!274,12.817,37.2124,4017.0023,1.4874,1314.6499
!275,12.1987,23.9449,3337.4109,1.1639,1075.4863
!276,13.2406,42.5008,4420.233,1.6262,1443.6516
!277,11.1467,27.5847,3850.2903,1.3092,1257.9636
!278,14.2754,75.1626,6485.8976,2.4528,2096.6788
!279,16.0682,67.9994,5433.9204,2.112,1762.84
!280,10.1886,20.4667,3314.3545,1.1402,1053.1556
!281,10.1436,16.088,2536.5166,0.8482,807.1038
!282,9.8235,17.7583,2998.8951,1.0103,968.8047
!283,10.1101,13.789,2475.9562,0.8235,798.08
!284,8.1109,9.7929,2468.2565,0.7919,794.1847
!285,10.31,18.388,3154.7892,1.0628,1029.3992
!286,8.0836,17.3172,3177.1603,1.0424,1035.2472
!287,8.3751,10.4091,2197.8984,0.6771,712.054
!288,20.447,154.0671,8877.7389,3.8497,2899.0399
!289,16.5152,116.922,7855.9925,3.2093,2581.1557
!290,9.9375,30.997,4485.4976,1.5053,1468.9756
!291,12.9569,8.8523,1780.7827,0.6404,570.8217
!292,9.2156,22.9308,3852.3143,1.28,1249.7346
!293,8.0738,17.9012,3471.069,1.0697,1110.4475
!294,12.2727,30.9134,4046.3761,1.4163,1317.0581
!295,9.3512,19.4212,3315.4072,1.1122,1072.2048
!296,9.2525,18.5921,3219.7491,1.0543,1039.5505
!297,9.8605,20.2833,3434.7622,1.1309,1107.0552
!298,12.7041,65.1249,6145.1873,2.3032,2024.0331
!299,10.4323,31.5067,4437.4542,1.4963,1415.8851
!300,16.9726,95.8739,6802.8226,2.7419,2219.4433
!301,11.1597,16.6378,2800.0646,0.9564,902.7476
!302,9.3987,21.2528,3676.9894,1.1852,1179.9467
!303,11.4561,23.1691,3382.0648,1.1689,1082.6182
!304,9.9124,17.8839,3064.7033,1.0221,980.7923
!305,5.1195,10.9242,2862.5176,0.9279,929.7165
!306,16.266,76.8244,6204.6257,2.4414,2018.324
!307,9.1717,16.7985,2980.6473,0.9875,972.2615
!308,10.3883,19.5802,3172.5801,1.0632,1028.8578
!309,10.7964,22.2878,3715.5713,1.2337,1211.4439
!310,9.3949,7.8782,1966.2793,0.6683,634.5074
