time_step,vehicle_id,route_id,speed,co_emission,co2_emission,nox_emission,fuel_consumption,noise,pos_x,pos_y,lane_id,waiting_time,acceleration
30,2,!2,5.303,0.0,0.0,0.0,0.0,49.271,645.558,2429.213,-464275047_0,0.0,-4.46
30,3,!3,13.89,8.198,2058.856,0.759,667.465,64.568,724.672,2522.808,-464275053#6_0,0.0,0.0
31,1,!1,5.923,3.518,2355.903,0.781,763.755,60.674,767.064,2451.823,368732296#1_0,0.0,0.448
31,2,!2,6.898,14.906,4494.775,1.314,1457.129,65.902,650.182,2434.243,:4594098407_4_0,0.0,1.595
31,3,!3,14.536,34.412,4278.683,1.56,1387.09,66.688,737.217,2529.548,:cluster_3725790437_4594098414_13_0,0.0,0.646
32,1,!1,7.473,17.132,4596.398,1.373,1490.076,65.994,771.997,2446.211,368732296#1_0,0.0,1.55
32,2,!2,7.741,10.678,3322.188,1.058,1077.006,63.268,649.517,2441.518,:4594098407_4_0,0.0,0.843
32,3,!3,14.068,0.0,0.0,0.0,0.0,63.742,751.261,2529.191,:cluster_3725790437_4594098414_13_0,0.0,-0.468
33,1,!1,5.124,0.0,0.0,0.0,0.0,51.082,774.829,2442.018,:4594098401_6_0,0.0,-2.349
33,2,!2,7.356,0.0,0.0,0.0,0.0,58.595,644.986,2447.298,-368732322#0_0,0.0,-0.385
33,3,!3,14.078,8.875,2105.419,0.776,682.56,64.72,765.302,2528.211,-368732259#3_0,0.0,0.009
34,1,!1,4.864,0.0,0.0,0.0,0.0,57.235,773.559,2437.613,:4594098401_6_0,0.0,-0.26
34,2,!2,4.935,0.0,0.0,0.0,0.0,50.65,641.791,2451.061,-368732322#0_0,0.0,-2.421
34,3,!3,14.528,26.813,3623.145,1.323,1174.578,66.13,779.796,2527.281,:4594098416_9_0,0.0,0.451
35,1,!1,5.161,1.87,2054.657,0.707,666.098,59.631,769.756,2434.135,464275041_0,0.0,0.297
35,2,!2,5.519,3.771,2520.98,0.809,817.268,60.998,639.821,2455.992,:3725789304_3_0,0.0,0.584
35,3,!3,14.022,0.0,0.0,0.0,0.0,63.639,793.787,2526.418,-368732259#2_0,0.0,-0.507
36,1,!1,6.827,15.192,4596.106,1.334,1489.978,66.166,764.581,2429.684,464275041_0,0.0,1.665
36,2,!2,6.461,8.035,3251.585,0.998,1054.114,62.97,643.896,2460.811,-464275053#9_0,0.0,0.943
36,3,!3,15.035,52.354,5671.984,2.083,1838.771,68.113,808.797,2525.555,-368732259#2_0,0.0,1.013
37,1,!1,9.191,38.967,6966.173,2.142,2258.315,70.247,757.612,2423.691,464275041_0,0.0,2.364
37,2,!2,8.858,36.579,6867.322,2.084,2226.268,70.228,650.83,2466.322,-464275053#9_0,0.0,2.397
37,3,!3,14.634,0.0,0.0,0.0,0.0,64.282,823.406,2524.626,:3725790435_9_0,0.0,-0.401
38,1,!1,11.77,70.427,8940.233,2.992,2898.275,72.377,748.689,2416.016,464275041_0,0.0,2.579
38,2,!2,10.544,37.924,5996.892,1.958,1944.098,68.105,659.178,2472.771,:3725789313_9_0,0.0,1.686
38,3,!3,13.971,0.0,0.0,0.0,0.0,63.34,837.349,2523.656,-368732259#1_0,0.0,-0.663
39,1,!1,12.864,39.678,5223.684,1.833,1693.441,67.134,738.936,2407.628,464275041_0,0.0,1.094
39,2,!2,13.051,85.049,9536.83,3.318,3091.681,72.699,669.575,2480.665,-464275053#8_0,0.0,2.507
39,3,!3,14.112,13.753,2537.053,0.929,822.487,65.057,851.422,2522.606,-368732259#1_0,0.0,0.141
40,1,!1,12.893,7.458,2067.075,0.759,670.129,63.938,729.161,2399.221,464275041_0,0.0,0.03
40,2,!2,13.56,24.758,3619.681,1.303,1173.454,65.676,680.481,2488.718,-464275053#8_0,0.0,0.509
40,3,!3,11.156,0.0,0.0,0.0,0.0,58.74,862.546,2521.776,-368732259#1_0,0.0,-2.957
40,4,!4,13.89,8.198,2058.856,0.759,667.465,64.568,636.497,2580.535,464275475#1_0,0.0,0.0
41,1,!1,11.828,0.0,0.0,0.0,0.0,60.934,720.194,2391.508,464275041_0,0.0,-1.065
41,2,!2,13.201,0.0,0.0,0.0,0.0,63.289,691.009,2496.677,:4594098400_7_0,0.0,-0.359
41,3,!3,6.656,0.0,0.0,0.0,0.0,51.942,869.183,2521.281,-368732259#1_0,0.0,-4.5
41,4,!4,13.03,0.0,0.0,0.0,0.0,62.277,626.909,2571.71,464275475#1_0,0.0,-0.86
42,1,!1,12.777,34.757,4768.007,1.674,1545.72,66.584,710.507,2383.177,464275041_0,0.0,0.949
42,2,!2,13.014,0.954,1428.341,0.541,463.063,63.516,701.287,2504.666,-464275053#7_0,0.0,-0.187
42,3,!3,8.489,26.069,5516.128,1.68,1788.237,67.675,876.476,2524.174,:cluster_3725790432_3725790440_17_0,0.0,1.833
42,4,!4,14.211,52.482,5951.128,2.148,1929.265,68.202,616.452,2562.084,464275475#1_0,0.0,1.181
43,2,!2,12.76,0.0,1220.723,0.472,395.758,63.177,711.332,2512.537,:3725790426_9_0,0.0,-0.254
43,3,!3,10.509,44.423,6807.385,2.205,2206.844,69.445,879.869,2533.998,:cluster_3725790432_3725790440_17_0,0.0,2.02
43,4,!4,13.978,0.009,1316.052,0.496,426.662,64.123,606.166,2552.616,:4594104817_1_0,0.0,-0.233
44,2,!2,13.1,17.58,3022.877,1.088,979.982,64.899,721.691,2520.542,-464275053#6_0,0.0,0.34
44,3,!3,11.749,36.322,5278.997,1.799,1711.372,67.029,881.085,2545.662,:cluster_3725790432_3725790440_17_0,0.0,1.24
44,4,!4,13.465,0.0,0.0,0.0,0.0,63.199,596.261,2543.496,:4594104817_1_0,0.0,-0.513
45,2,!2,13.049,5.18,1834.925,0.68,594.87,63.851,732.056,2528.475,:cluster_3725790437_4594098414_14_0,0.0,-0.052
45,3,!3,12.256,19.572,3368.995,1.19,1092.186,64.835,881.557,2557.904,368732203#5_0,0.0,0.507
