time,segment_id,speed,street,direction,from_street,to_street,length,street_heading,bus_count,message_count,hour,day_of_week,month,record_id,start_latitude,start_longitude,end_latitude,end_longitude,start_location,end_location,comments
2026-04-30T01:10:21.000,1287,-1,Chicago,EB,LaSalle,Michigan,0.43,W,0,0,1,5,4,1287-202604300610,41.896514,-87.632709,41.896635,-87.624241,"{'type': 'Point', 'coordinates': [-87.632709, 41.896514]}","{'type': 'Point', 'coordinates': [-87.624241, 41.896635]}",
2026-04-30T01:10:21.000,1286,-1,Chicago,WB,Michigan,LaSalle,0.43,W,0,0,1,5,4,1286-202604300610,41.896835,-87.624241,41.896714,-87.632709,"{'type': 'Point', 'coordinates': [-87.624241, 41.896835]}","{'type': 'Point', 'coordinates': [-87.632709, 41.896714]}",
2026-04-30T01:10:21.000,1285,-1,Chicago,EB,Michigan,Lake Shore Dr,0.37,E,0,0,1,5,4,1285-202604300610,41.896635,-87.624241,41.896736,-87.617048,"{'type': 'Point', 'coordinates': [-87.624241, 41.896635]}","{'type': 'Point', 'coordinates': [-87.617048, 41.896736]}",
2026-04-30T01:10:21.000,1280,19,Columbus,NB,Randolph,Illinois,0.45,N,1,3,1,5,4,1280-202604300610,41.884414,-87.620542,41.891002,-87.620124,"{'type': 'Point', 'coordinates': [-87.620542, 41.884414]}","{'type': 'Point', 'coordinates': [-87.620124, 41.891002]}",
2026-04-30T01:10:21.000,1268,-1,Indiana,SB,127th,130th,0.297679101353,S,0,0,1,5,4,1268-202604300610,41.66330931,-87.617866,41.65900629,-87.618769,"{'type': 'Point', 'coordinates': [-87.617866, 41.66330931]}","{'type': 'Point', 'coordinates': [-87.618769, 41.65900629]}",Outside City Limits
2026-04-30T01:10:21.000,1267,-1,Halsted,SB,Irving Park,Addison,0.5,N,0,0,1,5,4,1267-202604300610,41.954562,-87.649889,41.947316,-87.649676,"{'type': 'Point', 'coordinates': [-87.649889, 41.954562]}","{'type': 'Point', 'coordinates': [-87.649676, 41.947316]}",
2026-04-30T01:10:21.000,1266,-1,Halsted,SB,Addison,Belmont,0.5,N,0,0,1,5,4,1266-202604300610,41.947316,-87.649676,41.939979,-87.649457,"{'type': 'Point', 'coordinates': [-87.649676, 41.947316]}","{'type': 'Point', 'coordinates': [-87.649457, 41.939979]}",
2026-04-30T01:10:21.000,1265,-1,Halsted,SB,Belmont,Diversey,0.5,N,0,0,1,5,4,1265-202604300610,41.939979,-87.649457,41.932719,-87.6492,"{'type': 'Point', 'coordinates': [-87.649457, 41.939979]}","{'type': 'Point', 'coordinates': [-87.6492, 41.932719]}",
2026-04-30T01:10:21.000,1264,-1,Halsted,SB,Diversey,Fullerton,0.5,N,0,0,1,5,4,1264-202604300610,41.932719,-87.6492,41.925454,-87.64895,"{'type': 'Point', 'coordinates': [-87.6492, 41.932719]}","{'type': 'Point', 'coordinates': [-87.64895, 41.925454]}",
2026-04-30T01:10:21.000,1263,-1,Halsted,SB,Fullerton,Armitage,0.5,N,0,0,1,5,4,1263-202604300610,41.925454,-87.64895,41.91818,-87.648698,"{'type': 'Point', 'coordinates': [-87.64895, 41.925454]}","{'type': 'Point', 'coordinates': [-87.648698, 41.91818]}",
